class,term,chi2
CONSTRUCTION,projects,1246.6999216221311
CONSTRUCTION,subcontractors,1195.409949409781
CONSTRUCTION,contractor,1054.6355095157794
CONSTRUCTION,safety,1024.6014503665294
CONSTRUCTION,contractors,834.2503887170969
CONSTRUCTION,subcontractor,745.4150889161428
CONSTRUCTION,asphalt,660.6977807287108
CONSTRUCTION,residential,654.7861944320784
CONSTRUCTION,que,614.150917162818
CONSTRUCTION,de,581.7950289864084
CONSTRUCTION,civil,581.4635279396801
CONSULTANT,consultant,2249.342955482677
CONSULTANT,oracle,671.1337521416333
CONSULTANT,powerchart,473.8000000000001
CONSULTANT,sql,410.0816850419615
CONSULTANT,server,399.38209468167383
CONSULTANT,co2,349.39202861522745
CONSULTANT,reservoir,333.2682289923
CONSULTANT,deloitte,314.0349514563107
CONSULTANT,windows,307.97751266628404
CONSULTANT,medforce,288.4
CONSULTANT,consulting,265.19688390209876
CONSULTANT,business,246.90356579502796
CONSULTANT,drilling,231.68099861303747
CONSULTANT,application,226.45077488994752
CONSULTANT,11g,213.95713218820015
DESIGNER,designer,8305.692458305828
DESIGNER,design,4499.502559366863
DESIGNER,graphic,2799.8659290224477
DESIGNER,interior,1962.674243975409
DESIGNER,3d,1179.812111025144
DESIGNER,designs,1009.4560858876204
DESIGNER,drawings,772.5654043800415
DESIGNER,art,734.2784576699611
DESIGNER,cad,639.8496495016818
DESIGNER,adobe,617.0605271272283
DESIGNER,illustrator,599.5223992118814
DESIGNER,floral,557.2134450178896
DESIGNER,autocad,493.40599487067175
DESIGNER,tim,400.28006215040836
DESIGNER,designers,396.9056237541235
DIGITAL-MEDIA,digital,5950.803247004252
DIGITAL-MEDIA,media,3275.206933670985
DIGITAL-MEDIA,marketing,2249.4551309678272
DIGITAL-MEDIA,content,1446.1610025516181
DIGITAL-MEDIA,social,1008.6187169268092
DIGITAL-MEDIA,analytics,867.2453248647932
DIGITAL-MEDIA,seo,738.0228015075377
DIGITAL-MEDIA,campaigns,668.3892107071771
DIGITAL-MEDIA,mobile,617.3372615465867
DIGITAL-MEDIA,video,580.7230280911198
DIGITAL-MEDIA,strategy,550.3689138016107
DIGITAL-MEDIA,advertising,543.902541309582
DIGITAL-MEDIA,tv,462.66191125117115
DIGITAL-MEDIA,web,439.26228402285415
DIGITAL-MEDIA,campaign,439.1807958712483
ENGINEERING,engineering,8589.135641566707
ENGINEERING,manufacturing,2119.6125062996866
ENGINEERING,electrical,2012.9724878052536
ENGINEERING,mechanical,1513.8421537212014
ENGINEERING,test,1236.825778984095
ENGINEERING,engineer,1104.871644315675
ENGINEERING,plc,947.4788150943859
ENGINEERING,equipment,692.428058901966
ENGINEERING,cnc,666.9956144004054
ENGINEERING,json,630.9521006523313
ENGINEERING,electronics,577.1695878534069
ENGINEERING,nexio,561.4237288135593
ENGINEERING,assembly,526.0044380013994
ENGINEERING,engineers,525.7065685526521
ENGINEERING,autocad,473.14704458054416
FINANCE,finance,6799.528907685539
FINANCE,financial,4322.086985879653
FINANCE,accounting,2179.59488024757
FINANCE,reporting,978.2462944367476
FINANCE,audit,771.7251919793498
FINANCE,monthly,747.938493237625
FINANCE,statements,659.6380940562984
FINANCE,analysis,613.2827567292084
FINANCE,forecasting,593.5442010401594
FINANCE,ledger,583.6043367680704
FINANCE,reconciliations,562.7940533789322
FINANCE,reconciliation,540.3393914641616
FINANCE,accounts,525.5992336430385
FINANCE,forecast,496.34073935005205
FINANCE,tax,452.30956207821504
FITNESS,fitness,12920.206028552875
FITNESS,exercise,3114.466722473803
FITNESS,wellness,1955.762222209959
FITNESS,gym,889.3985240848651
FITNESS,trainer,869.5251788248804
FITNESS,nutrition,744.4625179401021
FITNESS,instructor,696.4339812278976
FITNESS,personal,661.4268646034627
FITNESS,strength,616.0467994440685
FITNESS,conditioning,590.1225504533489
FITNESS,weight,552.5247148288973
FITNESS,yoga,548.8201417128193
FITNESS,body,480.0241319222736
FITNESS,club,476.3313735864681
FITNESS,members,451.4370053638234
HEALTHCARE,healthcare,5323.885995737628
HEALTHCARE,patient,3096.2573761040517
HEALTHCARE,care,2885.604562075171
HEALTHCARE,medical,2357.9853902350164
HEALTHCARE,patients,1877.345285603669
HEALTHCARE,clinical,1141.8640776699028
HEALTHCARE,health,1020.5887601043585
HEALTHCARE,nursing,966.4205028193497
HEALTHCARE,nurse,749.7187239944521
HEALTHCARE,physicians,476.4042827329645
HEALTHCARE,physician,462.67641347801265
HEALTHCARE,buch,453.2
HEALTHCARE,hospital,335.2864120439673
HEALTHCARE,medicare,324.197942327199
HEALTHCARE,clinic,302.1773122125703
HR,hr,15818.989369498813
HR,employee,6063.942613245055
HR,human,4298.329453182229
HR,benefits,3072.285864652923
HR,recruitment,2738.0658420418604
HR,compensation,2242.724206172934
HR,resources,2106.892486788696
HR,hris,1976.9683388220878
HR,employees,1642.5099488941546
HR,generalist,1604.355338227745
HR,recruiting,1566.0542317413
HR,candidates,1202.5316427914372
HR,hire,1186.4270802206233
HR,orientation,1166.800382936356
HR,payroll,1136.3272707777787
INFORMATION-TECHNOLOGY,network,4450.191451800722
INFORMATION-TECHNOLOGY,technology,4217.947401361329
INFORMATION-TECHNOLOGY,it,2756.2159847802614
INFORMATION-TECHNOLOGY,hardware,2278.9073085885157
INFORMATION-TECHNOLOGY,server,2229.5012982345806
INFORMATION-TECHNOLOGY,security,2048.577026398104
INFORMATION-TECHNOLOGY,information,1994.4886311103692
INFORMATION-TECHNOLOGY,systems,1986.091458417425
INFORMATION-TECHNOLOGY,infrastructure,1638.9126118950533
INFORMATION-TECHNOLOGY,windows,1628.8481620189739
INFORMATION-TECHNOLOGY,software,1405.018010129246
INFORMATION-TECHNOLOGY,servers,1354.6290651088643
INFORMATION-TECHNOLOGY,directory,1279.4013697193438
INFORMATION-TECHNOLOGY,cisco,1255.7752895224776
INFORMATION-TECHNOLOGY,sql,1238.6713305514927
PUBLIC-RELATIONS,media,5777.796301274751
PUBLIC-RELATIONS,public,5450.900404617334
PUBLIC-RELATIONS,relations,5128.800419976673
PUBLIC-RELATIONS,press,4483.909009143002
PUBLIC-RELATIONS,communications,2131.8411975585936
PUBLIC-RELATIONS,pr,2010.4976915454795
PUBLIC-RELATIONS,releases,1926.1595298084574
PUBLIC-RELATIONS,events,1593.227391299979
PUBLIC-RELATIONS,marketing,1479.1643854151046
PUBLIC-RELATIONS,news,1452.4318568983551
PUBLIC-RELATIONS,event,1148.9476383129113
PUBLIC-RELATIONS,stories,823.5213731564224
PUBLIC-RELATIONS,publicity,793.8434980535844
PUBLIC-RELATIONS,social,756.0410880923545
PUBLIC-RELATIONS,articles,650.7907148265532
SALES,sales,2468.298972760395
SALES,customers,1257.23290055948
SALES,store,794.270446823165
SALES,merchandise,650.5937528184469
SALES,customer,599.1376900849444
SALES,associate,269.2735737961398
SALES,shelves,238.7902536478836
SALES,merchandising,231.00124816935167
SALES,service,219.13922665954192
SALES,414,191.20180568499535
SALES,displays,177.7365127390625
SALES,cash,177.26198492952176
SALES,vdss,163.31034482758622
SALES,described,155.62272526610099
SALES,friendly,150.5420631136349
TEACHER,teacher,7206.769945554868
TEACHER,students,4875.111808440683
TEACHER,classroom,3224.0619620415146
TEACHER,children,2176.5131842993387
TEACHER,student,2140.1608588477757
TEACHER,lesson,2108.9074692675144
TEACHER,learning,2052.034970460716
TEACHER,teaching,1640.424656191552
TEACHER,parents,1439.629930360053
TEACHER,teachers,1300.1453765508172
TEACHER,curriculum,1296.5888238674545
TEACHER,grade,1167.554264008549
TEACHER,lessons,1013.8038021572816
TEACHER,instruction,934.6396993940124
TEACHER,preschool,888.2450733441991
